,iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s1,mse_test_s2,R2_train,R2_val,R2_test,R2_test_m,R2_test_s1,R2_test_s2,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
10,0,BayesPredictor,20000,0.2368551124991489,0.23740404437894694,0.11645585710346258,0.23729205950307714,0.24561839842535554,0.23648565558308518,0.8154382702498656,0.8119524201667072,0.9088211950445226,0.8142128103381474,0.8075924019082941,0.8147466262071894,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
11,1,BayesPredictor,20000,0.2149457346499174,0.21404987449716822,0.12083677802516356,0.2147999589762145,0.23208321569324844,0.2213804533424359,0.8309189746713277,0.8368385566935634,0.9082163616111638,0.8368450228248874,0.8183380820575022,0.8259221337535305,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
12,2,BayesPredictor,20000,0.1992000374679884,0.20043838007654657,0.1165639003317049,0.20797290028318594,0.19365104392952018,0.19236946032697702,0.8431194167906826,0.8445853964033345,0.9090319971996967,0.8376952099105233,0.8493560836210878,0.849864376522464,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
13,3,BayesPredictor,20000,0.19588617777845285,0.18772175986204231,0.11700473146688536,0.19462236808389927,0.19729130523126037,0.19191891969162972,0.8462353788449082,0.8526788904119228,0.9069529297383121,0.8452281294049729,0.8458098479633555,0.8492563741735776,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
14,4,BayesPredictor,20000,0.20743857790324988,0.2115034212106291,0.11440735983944168,0.20470759474696787,0.20914079286985243,0.20468040544390195,0.8379829792281985,0.835727781651483,0.9112262143323441,0.8411582247321147,0.8372968041780005,0.839665304436074,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
15,5,BayesPredictor,20000,0.2022753752071977,0.20490430558703907,0.11541017715515502,0.20721655363456293,0.1952834001580919,0.19766609398132357,0.8404169823505778,0.8344084511076686,0.9110574379723598,0.8403054944624291,0.8470722264584388,0.8445456523986008,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
16,6,BayesPredictor,20000,0.23890170491866553,0.24891759543977374,0.1190644202176094,0.23960081342675527,0.2302539444601227,0.2405180295619954,0.8141501525631699,0.7994387105071967,0.9081891132251861,0.8152431842151306,0.8190576450253784,0.812687921615536,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
17,7,BayesPredictor,20000,0.17775728529840404,0.17686734176946037,0.1162359477901061,0.18627788105429263,0.2167792052356399,0.19303568079546232,0.8600365625327719,0.8604193735662962,0.9080490735943118,0.8526409079335716,0.8291033888187377,0.8499165448075885,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
18,8,BayesPredictor,20000,0.2204224565403849,0.21442637324009264,0.11512566642932695,0.2198396584612372,0.24411490601159147,0.22509453527806844,0.8260259909143106,0.8314607202521256,0.9094643399038074,0.8271164961609333,0.8056895733475937,0.8265527069262818,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
19,9,BayesPredictor,20000,0.22171257070513697,0.2135892255647843,0.11513607312782526,0.21789882492665055,0.19971394160614314,0.21657391080636731,0.8260258705259373,0.8328315873341674,0.9098785514499763,0.8294421790993673,0.8428198902402854,0.8310231526754452,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
20,0,BayesPredictor_order0,20000,0.13755961831997596,0.1411527648731456,0.11607242115409475,0.1384844343587175,0.139299690196515,0.13793557888417737,0.8922601503723505,0.8873480891720099,0.9080681418175036,0.89031734452194,0.8901485696835157,0.8912243048740233,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
21,1,BayesPredictor_order0,20000,0.15342372938355345,0.15842942617952543,0.12024937951791939,0.15786480348999443,0.15416878080191954,0.15247875670466823,0.8806463996596009,0.8776852757524037,0.9060489514173169,0.8766599554888014,0.879393246483138,0.8805152795101353,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
22,2,BayesPredictor_order0,20000,0.15697107335184501,0.16766393204263103,0.11702773860008608,0.15633869863552435,0.1563646705225116,0.15894701966941635,0.8774025212052677,0.8700728306439729,0.9080798857066603,0.877202864731432,0.8794716099272344,0.8755808063670225,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
23,3,BayesPredictor_order0,20000,0.19403469439675824,0.19415474620456444,0.11932773172921293,0.19395125899552526,0.18966329026549147,0.19361484382592883,0.8514549850395955,0.8458511826435202,0.9066967403875212,0.8483480377277932,0.851975215102057,0.8476871848692155,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
24,4,BayesPredictor_order0,20000,0.1494295670289025,0.15112240010231875,0.11488779111457025,0.14587804700220203,0.15258295733260557,0.14810900674455393,0.8822290374354386,0.8828009386673467,0.9103222882508912,0.886132292015776,0.8814698302216447,0.8838558347709404,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
25,5,BayesPredictor_order0,20000,0.1464702770874528,0.14734223553799847,0.11679297935207042,0.14497502474302937,0.1415215798843573,0.14423560700974694,0.884818666784693,0.8866353578963362,0.9098051021690571,0.8880411509554992,0.8900427186849295,0.8867794482590058,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
26,6,BayesPredictor_order0,20000,0.17282174866129113,0.17904845606529285,0.12013385180444539,0.17750791280916428,0.16538914080403008,0.17638635256528093,0.866522271817596,0.8565814936773521,0.9070026915993603,0.8625886220818164,0.8711608771900627,0.8621392804909217,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
27,7,BayesPredictor_order0,20000,0.16390548711948172,0.1565424308581311,0.11634513586364678,0.15782115720946005,0.16161275961856272,0.16247477368752752,0.8715933227941889,0.8750349499842597,0.9104801623666071,0.8785671247566138,0.8728534070125663,0.8738719469930261,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
28,8,BayesPredictor_order0,20000,0.1633743216224972,0.16395901981200608,0.11605532523485194,0.16589240951250794,0.1638513184744736,0.16210363770981873,0.8727177023996334,0.8746364167548484,0.908934995858667,0.8698293858665993,0.8719171151273685,0.8736238630929571,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
29,9,BayesPredictor_order0,20000,0.15184026604249715,0.14736403641871082,0.11495773537847404,0.1505009277154967,0.15031696185784096,0.1530317796282436,0.8823603692077906,0.8827114285403959,0.9085510937678736,0.8802764756874321,0.8818475331332466,0.8807192926494241,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
30,0,BayesPredictor_order0,20000,0.2783631944518356,0.28552326052878313,0.11645585710346258,0.281043020027282,0.29661265274107035,0.2787094263013512,0.7830944321837747,0.7738372222385365,0.9088211950445226,0.7799581116439703,0.7676455491795636,0.7816702184203133,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
31,1,BayesPredictor_order0,20000,0.25075526655644764,0.2417858037976116,0.12083677802516359,0.24526697905666325,0.2749573555688968,0.25546539184237643,0.8027504121215415,0.8156965949580731,0.9082163616111638,0.8137032774097043,0.7847785742892213,0.7991201588021384,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
32,2,BayesPredictor_order0,20000,0.2230005538863602,0.22209099269867938,0.1165639003317049,0.23535845254485593,0.21178613782061334,0.21076779151528613,0.8243752491496643,0.8277965348778332,0.9090319971996967,0.8163231642965876,0.8352485347423538,0.8355053149582848,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
33,3,BayesPredictor_order0,20000,0.21696747252128742,0.2064573669459398,0.11700473146688536,0.2133011164714665,0.2176451877870737,0.21379588613125075,0.8296872112490454,0.8379754781573474,0.9069529297383121,0.8303740052013697,0.8299025668891178,0.8320730071116419,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
34,4,BayesPredictor_order0,20000,0.23308066813980277,0.23273106340043387,0.11440735983944168,0.22811582248678605,0.23427736367731428,0.22401636653089663,0.8179555807159234,0.8192405217628823,0.9112262143323441,0.8229947342438226,0.8177415545958442,0.8245186399197733,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
35,5,BayesPredictor_order0,20000,0.2275791027257847,0.23363615994806305,0.11541017715515502,0.2329925905397293,0.21534515726379905,0.21971270770131668,0.8204538741815359,0.8111890646113225,0.9110574379723598,0.8204408099278719,0.8313617265131097,0.8272071099929144,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,MAR_logistic,0.5,stairs,20,,,,,,
