,iter,method,n,mse_train,mse_val,mse_test,R2_train,R2_val,R2_test,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
33,3,BayesPredictor_order0,100000,0.6472037489632655,0.626267774103494,0.661353013255268,0.49533336906476644,0.5050609435992397,0.4739020744846283,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
34,4,BayesPredictor_order0,100000,0.6662318185031428,0.6513456386920576,0.6425126361657202,0.48077739713182854,0.48389765328923595,0.49767388675253377,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
35,5,BayesPredictor_order0,100000,0.6854502667182143,0.6815024932642592,0.6793424153514266,0.463482213013765,0.44535345587390573,0.4725581675976107,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
36,6,BayesPredictor_order0,100000,0.7171539591402133,0.7229080914650998,0.7185095032187551,0.4382050275372368,0.4200427129772809,0.44040780027991844,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
37,7,BayesPredictor_order0,100000,0.6390694549706359,0.6298507741703137,0.6446915293466171,0.5023812785203128,0.49652996885651657,0.49222905003860085,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
38,8,BayesPredictor_order0,100000,0.7246630786245724,0.710412671742663,0.7202020869647693,0.432229337889685,0.4354058657943851,0.42979202281934326,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
39,9,BayesPredictor_order0,100000,0.6674643156239443,0.6524993566502413,0.6646679365047907,0.4787101795099349,0.49611977755075365,0.48153692089454736,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
40,0,NeuMiss_uniform_,100000,0.3861558170686324,0.40698023424922447,0.3870120614293066,0.6982114743320281,0.6767803908799814,0.6917139920065468,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
41,1,NeuMiss_uniform_,100000,0.3953450002278229,0.42430717120275624,0.40471961022194125,0.6908349990597646,0.6717342869026046,0.6845925350056534,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
42,2,NeuMiss_uniform_,100000,0.4015373700178623,0.4169609706040783,0.422224776665076,0.6854861450692815,0.6740384063768313,0.6682488986209164,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
43,3,NeuMiss_uniform_,100000,0.39232785006552795,0.3894406753933452,0.3948062126386245,0.6934961023338451,0.700785725785837,0.6917310517168636,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
44,4,NeuMiss_uniform_,100000,0.4187447149163761,0.42480583121844784,0.43314595655666516,0.6738686761236659,0.6726168210512349,0.662053852968985,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
45,5,NeuMiss_uniform_,100000,0.3983787939611125,0.39448990460986655,0.39655854116973605,0.6872707669393824,0.6913886940082785,0.6957951778335447,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
46,6,NeuMiss_uniform_,100000,0.396623154605383,0.39264441033977865,0.4088466392262777,0.6914496436741261,0.6797035306082786,0.6818330130819055,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
47,7,NeuMiss_uniform_,100000,0.3592290774427976,0.37141178680978926,0.35860112390928023,0.7194512725970946,0.7053415904699318,0.7221153404914804,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
48,8,NeuMiss_uniform_,100000,0.44161560581591747,0.4542204112863303,0.4462055739433942,0.6560635562216475,0.6437748780196242,0.6470790037841437,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
49,9,NeuMiss_uniform_,100000,0.38783068244175695,0.4166398152432896,0.40886838721364577,0.6957042561425697,0.6736225805509433,0.6801906033897245,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
